New Episode Started
State: D:20.2_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:20.7_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:20.8_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.00271
State: D:20.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:20.8_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:20.9_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:21.0_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:21.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.2_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:21.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.6_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:21.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.8_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:21.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:22.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.2_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:22.3_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.3_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:22.3_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:22.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.3_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:22.4_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.3_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:22.4_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:22.5_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:22.6_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.5_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:22.6_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:22.5_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:22.8_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:22.9_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.1_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.2_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.1_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.0_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.1_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.0_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:23.1_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:22.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.0_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.2_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.3_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.4_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.5_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.4_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.5_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.6_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.7_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.6_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.6_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:23.7_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.6_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.5_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:23.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.7_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.0019
State: D:23.7_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:23.6_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:23.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.8_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.0_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:24.1_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:24.2_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:24.1_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:24.0_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.9_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:24.0_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:23.9_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:23.8_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:23.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:23.8_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.7_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.8_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.0019
State: D:23.9_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:24.0_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:23.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.8_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.00271
State: D:23.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:24.0_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:24.0_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.00271
State: D:24.0_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.0019
State: D:23.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:23.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:23.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:24.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.4_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:24.5_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.4_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:24.5_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:24.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.5_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:24.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:24.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:24.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.9_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:25.0_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:24.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:24.9_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:25.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.2_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:25.3_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.2_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:25.3_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:25.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.3_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:25.4_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.4_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:25.5_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:25.6_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.5_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:25.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.7_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:25.8_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:25.9_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:25.8_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:25.8_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:25.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.8_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:25.9_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:25.8_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:25.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:25.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:25.2_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.00271
State: D:25.1_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.00271
State: D:24.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:24.6_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:24.3_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:24.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:24.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001999
State: D:24.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:23.9_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.00271
State: D:23.7_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.00271
State: D:23.5_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.0019
State: D:23.5_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:22.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:22.8_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:22.7_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:22.4_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:22.1_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:21.8_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.5_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:21.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:21.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:21.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:21.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:21.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:20.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001999
State: D:20.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:20.6_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:20.6_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:20.4_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:20.1_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:20.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:19.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:19.6_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:19.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:19.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:19.1_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:19.0_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:18.9_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:18.6_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:18.3_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:18.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.7_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:17.6_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:17.3_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:17.2_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:16.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.0_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:17.1_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:17.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:16.9_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:17.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.1_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:17.2_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:17.3_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:17.2_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:17.1_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:17.0_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:16.9_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:16.9_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.0019
State: D:17.0_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:17.0_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:17.0_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001999
State: D:17.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:17.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.2_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:17.3_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:17.2_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:17.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:17.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.4_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.5_G:True_W:False_F:True, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:17.6_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.7_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:17.8_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:17.9_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:18.0_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:18.1_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:18.2_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:18.3_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:18.4_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:18.3_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.0019
State: D:18.4_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.0019
State: D:18.3_G:True_W:False_F:True, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
State: D:18.4_G:True_W:False_F:True, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:18.5_G:True_W:False_F:False, Action: ShootLaser, Reward: -0.01, New Q-value: -0.001
State: D:18.4_G:True_W:False_F:False, Action: MoveLeft, Reward: -0.01, New Q-value: -0.001
State: D:18.3_G:True_W:False_F:False, Action: MoveRight, Reward: -0.01, New Q-value: -0.001
